"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu03098";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"";""
"Otu03099";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu03100";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu03101";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfobacterales";"Desulfobacteraceae";"Desulfosarcina";""
"Otu03102";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betIII";"betIII-A";"betIII-A2"
"Otu03103";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03104";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Bdellovibrionales";"Bacteriovoracaceae";"Peredibacter";""
"Otu03105";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03106";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Betaproteobacteria_unclassified";"Betaproteobacteria_unclassified";"";""
"Otu03107";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Betaproteobacteria_unclassified";"Betaproteobacteria_unclassified";"";""
"Otu03108";"Bacteria";"Actinobacteria";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Tessaracoccus";""
"Otu03109";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu03110";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";""
"Otu03111";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03112";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03113";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Betaproteobacteria_unclassified";"Betaproteobacteria_unclassified";"";""
"Otu03114";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03115";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03116";"Bacteria";"Actinobacteria";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacterales_unclassified";"";""
"Otu03117";"Bacteria";"Planctomycetes";"Phycisphaerae";"WD2101_soil_group";"WD2101_soil_group_unclassified";"";""
"Otu03118";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A2"
"Otu03119";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A1"
"Otu03120";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A1"
"Otu03121";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"";""
"Otu03122";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A_unclassified"
"Otu03123";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03124";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03125";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03126";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"gamII";"gamII-A";"gamII-A1"
"Otu03127";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03128";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03129";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03130";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03131";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";""
"Otu03132";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betII";"Pnec:PnecA";"Pnec:PnecA_unclassified"
"Otu03133";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03134";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03135";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfuromonadales";"Geobacteraceae";"Geobacter";""
"Otu03136";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillales_Incertae_Sedis";"Reyranella";""
"Otu03137";"Bacteria";"Saccharibacteria";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"";""
"Otu03138";"Bacteria";"Chlorobi";"Ignavibacteria";"Ignavibacteriales";"BSV26";"";""
"Otu03139";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Sphingobacteriales_unclassified";"Sphingobacteriales_unclassified";"Sphingobacteriales_unclassified"
"Otu03140";"Bacteria";"Chloroflexi";"TK10";"TK10_unclassified";"TK10_unclassified";"";""
"Otu03141";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_6";"Subgroup_6_unclassified";"";""
"Otu03142";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03143";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Betaproteobacteria_unclassified";"Betaproteobacteria_unclassified";"";""
"Otu03144";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acIV";"acIV-D";"Iamia"
"Otu03145";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03146";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acIV";"acIV-D";"Iamia"
"Otu03147";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfuromonadales";"Geobacteraceae";"Geobacter";""
"Otu03148";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acIV";"acIV-D";"Iamia"
"Otu03149";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03150";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acV";"acV-A";"acV-A1"
"Otu03151";"Bacteria";"Actinobacteria";"Actinobacteria";"Acidimicrobiales";"acIV";"acIV_unclassified";""
"Otu03152";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03153";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03154";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03155";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03156";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutaceae_unclassified";"Opitutaceae_unclassified"
"Otu03157";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03158";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";""
"Otu03159";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillales_unclassified";"";""
"Otu03160";"Bacteria";"Saccharibacteria";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"Saccharibacteria_unclassified";"";""
"Otu03161";"Bacteria";"Cyanobacteria";"Melainabacteria";"Obscuribacterales";"Obscuribacterales_unclassified";"";""
"Otu03162";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"Thermosporotrichaceae";"Thermosporothrix";""
"Otu03163";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacterales";"Thermosporotrichaceae";"Thermosporothrix";""
"Otu03164";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03165";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03166";"Bacteria";"Verrucomicrobia";"Opitutae";"Opitutales";"Opitutaceae";"Opitutaceae_unclassified";"Opitutaceae_unclassified"
"Otu03167";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"";""
"Otu03168";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03169";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03170";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Flammeovirgaceae";"";""
"Otu03171";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Hymenobacter";""
"Otu03172";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Hymenobacter";""
"Otu03173";"Bacteria";"Cyanobacteria";"Cyanobacteria";"Cyanobacteria_unclassified";"Cyanobacteria_unclassified";"";""
"Otu03174";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Panacagrimonas";""
"Otu03175";"Bacteria";"Cyanobacteria";"Cyanobacteria";"Cyanobacteria_unclassified";"Cyanobacteria_unclassified";"";""
"Otu03176";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03177";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"betI-A_unclassified"
"Otu03178";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03179";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03180";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03181";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-A";"bacI-A_unclassified"
"Otu03182";"Bacteria";"Planctomycetes";"Phycisphaerae";"WD2101_soil_group";"WD2101_soil_group_unclassified";"";""
"Otu03183";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03184";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu03185";"Bacteria";"Planctomycetes";"Phycisphaerae";"WD2101_soil_group";"WD2101_soil_group_unclassified";"";""
"Otu03186";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03187";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03188";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu03189";"Bacteria";"Bacteroidetes";"Cytophagia";"Cytophagales";"Cytophagaceae";"Hymenobacter";""
"Otu03190";"Bacteria";"Proteobacteria";"Betaproteobacteria";"o_Burkholderiales";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified"
"Otu03191";"Bacteria";"Proteobacteria";"Betaproteobacteria";"o_Burkholderiales";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified"
"Otu03192";"Bacteria";"Proteobacteria";"Betaproteobacteria";"o_Burkholderiales";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified";"o_Burkholderiales_unclassified"
"Otu03193";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"";""
"Otu03194";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03195";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03196";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03197";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03198";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03199";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03200";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03201";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03202";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03203";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03204";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03205";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03206";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03207";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03208";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03209";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03210";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03211";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03212";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03213";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03214";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03215";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03216";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03217";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03218";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03219";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03220";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03221";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03222";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03223";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03224";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03225";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03226";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03227";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03228";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03229";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03230";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03231";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03232";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03233";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03234";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03235";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03236";"Bacteria";"Proteobacteria";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"Proteobacteria_unclassified";"";""
"Otu03237";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03238";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03239";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03240";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03241";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03242";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03243";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03244";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03245";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03246";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03247";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03248";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03249";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03250";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03251";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03252";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03253";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"Unknown_Order";"Unknown_Family";"Pedosphaera";""
"Otu03254";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu03255";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"GR-WP33-30";"GR-WP33-30_unclassified";"";""
"Otu03256";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03257";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03258";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03259";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03260";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03261";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03262";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03263";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Alteromonadales";"Pseudoalteromonadaceae";"Pseudoalteromonas";""
"Otu03264";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03265";"Bacteria";"Verrucomicrobia";"Spartobacteria";"Spartobacteriales";"Spartobacteriaceae";"CandidatusXiphinematobacter";"CandidatusXiphinematobacter_unclassified"
"Otu03266";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03267";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03268";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03269";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03270";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcaceae_UCG-002";""
"Otu03271";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03272";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03273";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"Unknown_Order";"Unknown_Family";"Pedosphaera";""
"Otu03274";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"Unknown_Order";"Unknown_Family";"Pedosphaera";""
"Otu03275";"Bacteria";"Verrucomicrobia";"OPB35_soil_group";"Unknown_Order";"Unknown_Family";"Pedosphaera";""
"Otu03276";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03277";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03278";"Bacteria";"Cyanobacteria";"Melainabacteria";"Gastranaerophilales";"Gastranaerophilales_unclassified";"";""
"Otu03279";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03280";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03281";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu03282";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"alfIV";"alfIV-A";"alfIV-A_unclassified"
"Otu03283";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"";""
"Otu03284";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03285";"Bacteria";"Chloroflexi";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"";""
"Otu03286";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"";""
"Otu03287";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03288";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu03289";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";""
"Otu03290";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";""
"Otu03291";"Bacteria";"Chloroflexi";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"";""
"Otu03292";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03293";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03294";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03295";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03296";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03297";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu03298";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
