"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00047";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacVI";"bacVI_unclassified";"bacVI_unclassified"
"Otu00048";"Bacteria";"Chloroflexi";"Ktedonobacteria";"Ktedonobacteria_unclassified";"Ktedonobacteria_unclassified";"";""
"Otu00049";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiales_unclassified";"Burkholderiales_unclassified";"Burkholderiales_unclassified"
"Otu00050";"Bacteria";"Nitrospirae";"Nitrospira";"Nitrospirales";"Nitrospiraceae";"Nitrospira";""
"Otu00051";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI_unclassified";"betI_unclassified"
"Otu00052";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Oligoflexales";"Oligoflexales_unclassified";"";""
"Otu00053";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00054";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI-B";"alfI-B_unclassified"
"Otu00055";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI_unclassified";"alfI_unclassified"
"Otu00056";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Sphingobacteriales_unclassified";"Sphingobacteriales_unclassified";"Sphingobacteriales_unclassified"
"Otu00057";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"alfI";"alfI-B";"alfI-B_unclassified"
"Otu00058";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacI";"bacI-A";"bacI-A2"
"Otu00059";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00060";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Unknown_Family";"Bryobacter";""
"Otu00061";"Bacteria";"Elusimicrobia";"Elusimicrobia";"Lineage_IV";"Lineage_IV_unclassified";"";""
"Otu00062";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomondales";"gamIV";"gamIV-A";"Pseudo-A1"
"Otu00063";"Bacteria";"Chloroflexi";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"Chloroflexi_unclassified";"";""
