codon_file	long_name	ref_name
Limnohabitans_planktonicus_II_D5_NZ_LFYT00000000_1_CDS.codonO.output	Limnohabitans planktonicus II-D5	Lim. planktonicus II-D5 (NZ.LFYT00000000.1)
Limnohabitans_sp_103DPR2_NZ_CP011834_1_CDS.codonO.output	Limnohabitans sp. 103DPR2	Lim. sp. 103DPR2 (NZ.CP011834.1)
Limnohabitans_sp_2KL_27_NZ_CXOP00000000_1_CDS.codonO.output	Limnohabitans sp. 2KL-27	Lim. sp. 2KL-27 (NZ.CXOP00000000.1)
Limnohabitans_sp_2KL_3_NZ_CXON00000000_1_CDS.codonO.output	Limnohabitans sp. 2KL-3	Lim. sp. 2KL-3 (CXON00000000.1)
Limnohabitans_sp_63ED37_2_NZ_CP011774_1_CD.codonO.output	Limnohabitans sp. 63ED37-2	Lim. sp. 63ED37-2 (NZ.CP011774.1)
Limnohabitans_sp_DM1_NZ_CXOO00000000_1_CDS.codonO.output	Limnohabitans sp. DM1	Lim. sp. DM1 (CXOO00000000.1)
Limnohabitans_sp_Rim11_CXOM00000000_1_CDS.codonO.output	Limnohabitans sp. Rim11	Lim sp. Rim11 (CXOM00000000.1)
Limnohabitans_sp_Rim28_NZ.ALKN00000000.1_CDS.codonO.output	Limnohabitans sp. Rim28	Lim. sp. Rim28 (NZ.ALKN00000000.1)
Limnohabitans_sp_Rim47_(2684622883)_CDS.codonO.output	Limnohabitans sp. Rim47	Lim sp. Rim47 (2684622883)
